x,y,STN_ID,STATION_NAME,PROV_STATE_TERR_CODE,ENG_PROV_NAME,FRE_PROV_NAME,COUNTRY,LATITUDE,LONGITUDE,TIMEZONE,ELEVATION,CLIMATE_IDENTIFIER,TC_IDENTIFIER,WMO_IDENTIFIER,STATION_TYPE,NORMAL_CODE,PUBLICATION_CODE,DISPLAY_CODE,ENG_STN_OPERATOR_ACRONYM,FRE_STN_OPERATOR_ACRONYM,ENG_STN_OPERATOR_NAME,FRE_STN_OPERATOR_NAME,FIRST_DATE,LAST_DATE,HLY_FIRST_DATE,HLY_LAST_DATE,DLY_FIRST_DATE,DLY_LAST_DATE,MLY_FIRST_DATE,MLY_LAST_DATE,HAS_MONTHLY_SUMMARY,HAS_NORMALS_DATA,HAS_HOURLY_DATA
-123.06666666666666,54.1,577,CHIEF LAKE,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,540600000,-1230400000,PST,792.50,1091512,,,N/A,F,1,7,,,,,1970-01-01 00:00:00,1980-12-01 00:00:00,,,1970-06-01 00:00:00,1980-04-30 00:00:00,1970-01-01 00:00:00,1980-12-01 00:00:00,Y,N,N
-122.25,51.583333333333336,578,DOG CREEK,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,513500000,-1221500000,PST,655.30,1092489,,,N/A,G,1,8,,,,,1973-01-01 00:00:00,1977-12-01 00:00:00,,,1973-09-01 00:00:00,1977-08-31 00:00:00,1973-01-01 00:00:00,1977-12-01 00:00:00,Y,N,N
-121.36416666666666,52.3625,596,HORSEFLY LAKE GRUHS LAKE,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,522145000,-1212151000,PST,777.00,1093600,,,Climate-Staffed,E,1,6,,,,,1950-01-01 00:00:00,2016-06-07 00:00:00,,,1950-12-01 00:00:00,2016-06-07 00:00:00,1950-01-01 00:00:00,2007-02-01 00:00:00,Y,N,N
-122.36666666666666,52.81666666666667,601,KERSLEY,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,524900000,-1222200000,PST,670.60,1094125,,,N/A,D,1,5,,,,,1962-01-01 00:00:00,1992-12-01 00:00:00,,,1962-09-01 00:00:00,1992-08-31 00:00:00,1962-01-01 00:00:00,1992-12-01 00:00:00,Y,N,N
-121.73333333333333,51.88333333333333,604,LAC LA HACHE DINGWALL CREEK,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,515300000,-1214400000,PST,906.00,1094456,,,Climate-Staffed,G,1,8,,,,,1989-01-01 00:00:00,1994-12-01 00:00:00,,,1989-05-01 00:00:00,1994-07-31 00:00:00,1989-01-01 00:00:00,1994-12-01 00:00:00,Y,N,N
-125.58333333333333,55.083333333333336,606,LEO CREEK,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,550500000,-1253500000,PST,698.00,1094602,,,N/A,G,1,8,,,,,1973-01-01 00:00:00,1980-12-01 00:00:00,,,1973-11-01 00:00:00,1980-03-31 00:00:00,1973-01-01 00:00:00,1980-12-01 00:00:00,Y,N,N
-120.71666666666667,52.38333333333333,609,MACKAY RIVER,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,522300000,-1204300000,PST,1219.20,1094785,,,N/A,G,1,8,,,,,1971-10-01 00:00:00,1975-10-31 00:00:00,,,1971-10-01 00:00:00,1975-10-31 00:00:00,,,Y,N,N
-120.25,53.36666666666667,613,MCBRIDE NORTH,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,532200000,-1201500000,PST,771.10,1094955,,,N/A,D,1,5,,,,,1973-01-01 00:00:00,1992-12-01 00:00:00,,,1973-06-01 00:00:00,1992-09-30 00:00:00,1973-01-01 00:00:00,1992-12-01 00:00:00,Y,N,N
-122.28583555555555,52.53055805555555,617,MCLEESE LAKE GRANITE MT,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,523150009,-1221709008,PST,1133.00,1095018,,,Climate-Staffed,C,1,4,CCN,RCSC,Co-operative Climate Network,Réseau coopératif de stations climatiques,1972-01-01 00:00:00,2024-10-01 00:00:00,,,1972-03-01 00:00:00,2024-10-01 00:00:00,1972-01-01 00:00:00,2007-02-01 00:00:00,Y,N,N
-121.48333333333333,52.233333333333334,618,MOFFAT CREEK,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,521400000,-1212900000,PST,945.00,1095195,,,N/A,F,1,7,,,,,1975-01-01 00:00:00,1986-12-01 00:00:00,,,1975-07-01 00:00:00,1986-08-31 00:00:00,1975-01-01 00:00:00,1986-12-01 00:00:00,Y,N,N
