x,y,STN_ID,STATION_NAME,PROV_STATE_TERR_CODE,ENG_PROV_NAME,FRE_PROV_NAME,COUNTRY,LATITUDE,LONGITUDE,TIMEZONE,ELEVATION,CLIMATE_IDENTIFIER,TC_IDENTIFIER,WMO_IDENTIFIER,STATION_TYPE,NORMAL_CODE,PUBLICATION_CODE,DISPLAY_CODE,ENG_STN_OPERATOR_ACRONYM,FRE_STN_OPERATOR_ACRONYM,ENG_STN_OPERATOR_NAME,FRE_STN_OPERATOR_NAME,FIRST_DATE,LAST_DATE,HLY_FIRST_DATE,HLY_LAST_DATE,DLY_FIRST_DATE,DLY_LAST_DATE,MLY_FIRST_DATE,MLY_LAST_DATE,HAS_MONTHLY_SUMMARY,HAS_NORMALS_DATA,HAS_HOURLY_DATA
-59.15,47.61666666666667,6695,PORT AUX BASQUES CHANNEL,NL,NEWFOUNDLAND,TERRE-NEUVE,CAN,473700000,-590900000,NST,15.20,8403000,,,N/A,,1,9,,,,,1952-01-01 00:00:00,1953-12-01 00:00:00,,,1952-08-01 00:00:00,1953-06-30 00:00:00,1952-01-01 00:00:00,1953-12-01 00:00:00,Y,N,N
-57.88333333333333,49.56666666666667,6705,ROCKY HARBOUR,NL,NEWFOUNDLAND,TERRE-NEUVE,CAN,493400000,-575300000,NST,67.70,8403096,,,N/A,D,1,5,,,,,1972-01-01 00:00:00,1993-12-01 00:00:00,,,1972-07-01 00:00:00,1993-04-30 00:00:00,1972-01-01 00:00:00,1993-12-01 00:00:00,Y,N,N
-54.166666666666664,46.916666666666664,6715,ST BRIDE'S,NL,NEWFOUNDLAND,TERRE-NEUVE,CAN,465500000,-541000000,NST,78.80,8403418,,,N/A,G,1,8,,,,,1984-01-01 00:00:00,1987-12-01 00:00:00,,,1984-01-01 00:00:00,1987-11-30 00:00:00,1984-01-01 00:00:00,1987-12-01 00:00:00,Y,N,N
-58.46666666666667,48.43333333333333,6717,ST GEORGES,NL,NEWFOUNDLAND,TERRE-NEUVE,CAN,482600000,-582800000,NST,11.70,8403450,,,N/A,F,1,7,,,,,1956-01-01 00:00:00,1993-12-01 00:00:00,,,1956-08-01 00:00:00,1993-09-30 00:00:00,1956-01-01 00:00:00,1993-12-01 00:00:00,Y,N,N
-52.7,47.56666666666667,6718,ST JOHN'S,NL,NEWFOUNDLAND,TERRE-NEUVE,CAN,473400000,-524200000,NST,38.10,8403500,,,N/A,,1,9,,,,,1874-01-01 00:00:00,1956-12-01 00:00:00,,,1874-01-01 00:00:00,1956-03-31 00:00:00,1874-01-01 00:00:00,1956-12-01 00:00:00,Y,N,N
-107.05,51.483333333333334,3318,OUTLOOK PFRA,SK,SASKATCHEWAN,SASKATCHEWAN,CAN,512900000,-1070300000,CST,541.00,4055736,WYE,71551,Climate-Auto,A,1,1,ECCC - MSC,ECCC - SMC,Environment and Climate Change Canada - Meteorological Service of Canada,Environnement et Changement climatique Canada - Service météorologique du Canada,1952-01-01 00:00:00,2024-10-02 12:30:01,1996-08-26 07:00:00,2024-10-02 12:30:01,1952-05-01 00:00:00,2024-10-02 00:00:00,1952-01-01 00:00:00,2007-11-01 00:00:00,Y,Y,N
-105.66666666666667,53.21666666666667,3322,PRINCE ALBERT A,SK,SASKATCHEWAN,SASKATCHEWAN,CAN,531300000,-1054000000,CST,428.20,4056240,YPA,71869,Aviation-Staffed,A,1,1,,,,,1942-01-01 00:00:00,2013-11-14 12:00:00,1953-01-01 00:00:00,2013-11-14 12:00:00,1942-12-01 00:00:00,2013-11-13 00:00:00,1942-01-01 00:00:00,2007-11-01 00:00:00,N,Y,Y
-107.46666666666667,52.46666666666667,3324,RADISSON 2,SK,SASKATCHEWAN,SASKATCHEWAN,CAN,522800000,-1072800000,CST,542.50,4056382,,,N/A,G,1,9,,,,,1976-01-01 00:00:00,1978-12-01 00:00:00,,,1976-07-01 00:00:00,1978-09-30 00:00:00,1976-01-01 00:00:00,1978-12-01 00:00:00,Y,N,N
-106.68333333333334,52.166666666666664,3331,SASKATOON 1,SK,SASKATCHEWAN,SASKATCHEWAN,CAN,521000000,-1064100000,CST,503.80,4057170,,,N/A,G,1,9,,,,,1976-01-01 00:00:00,1978-12-01 00:00:00,,,1976-02-01 00:00:00,1978-04-30 00:00:00,1976-01-01 00:00:00,1978-12-01 00:00:00,Y,N,N
-107.23333333333333,51.333333333333336,3339,SURBITON,SK,SASKATCHEWAN,SASKATCHEWAN,CAN,512000000,-1071400000,CST,655.30,4057920,,,N/A,,1,9,,,,,1916-01-01 00:00:00,1969-12-01 00:00:00,,,1916-04-01 00:00:00,1969-08-31 00:00:00,1916-01-01 00:00:00,1969-12-01 00:00:00,Y,N,N
-116.06666666666666,54.75,2521,GOOSE MOUNTAIN LO,AB,ALBERTA,ALBERTA,CAN,544500000,-1160400000,MST,1402.10,3062880,,,N/A,G,1,9,,,,,1945-01-01 00:00:00,2011-08-18 00:00:00,,,1945-05-01 00:00:00,2011-08-18 00:00:00,1945-01-01 00:00:00,2007-08-01 00:00:00,Y,N,N
-113.56666666666666,54.86666666666667,2524,GROSMONT,AB,ALBERTA,ALBERTA,CAN,545200000,-1133400000,MST,640.10,3062957,,,N/A,G,1,8,,,,,1964-01-01 00:00:00,1975-12-01 00:00:00,,,1964-05-01 00:00:00,1975-02-28 00:00:00,1964-01-01 00:00:00,1975-12-01 00:00:00,Y,N,N
-115.53333333333333,53.916666666666664,2534,HIGHWAY,AB,ALBERTA,ALBERTA,CAN,535500000,-1153200000,MST,823.00,3063248,,,Climate-Staffed,A,1,2,,,,,1969-01-01 00:00:00,1999-01-31 00:00:00,,,1969-09-01 00:00:00,1999-01-31 00:00:00,1969-01-01 00:00:00,1999-01-01 00:00:00,Y,N,N
-115.61666666666666,55.03333333333333,2537,HOUSE MOUNTAIN LO,AB,ALBERTA,ALBERTA,CAN,550200000,-1153700000,MST,1152.10,3063347,,,N/A,E,1,9,,,,,1960-01-01 00:00:00,2011-08-23 00:00:00,,,1960-05-01 00:00:00,2011-08-23 00:00:00,1960-01-01 00:00:00,2007-09-01 00:00:00,Y,N,N
-113.98333333333333,54.45,2541,JARVIE HAMLET,AB,ALBERTA,ALBERTA,CAN,542700000,-1135900000,MST,613.00,3063517,,,Climate-Staffed,G,1,8,,,,,1980-01-01 00:00:00,1992-12-01 00:00:00,,,1980-08-01 00:00:00,1992-08-31 00:00:00,1980-01-01 00:00:00,1992-12-01 00:00:00,Y,N,N
