x,y,STN_ID,STATION_NAME,PROV_STATE_TERR_CODE,ENG_PROV_NAME,FRE_PROV_NAME,COUNTRY,LATITUDE,LONGITUDE,TIMEZONE,ELEVATION,CLIMATE_IDENTIFIER,TC_IDENTIFIER,WMO_IDENTIFIER,STATION_TYPE,NORMAL_CODE,PUBLICATION_CODE,DISPLAY_CODE,ENG_STN_OPERATOR_ACRONYM,FRE_STN_OPERATOR_ACRONYM,ENG_STN_OPERATOR_NAME,FRE_STN_OPERATOR_NAME,FIRST_DATE,LAST_DATE,HLY_FIRST_DATE,HLY_LAST_DATE,DLY_FIRST_DATE,DLY_LAST_DATE,MLY_FIRST_DATE,MLY_LAST_DATE,HAS_MONTHLY_SUMMARY,HAS_NORMALS_DATA,HAS_HOURLY_DATA
-88.30583333333334,49.69,43104,LITTLE FLATLAND ISLAND (AUT),ON,ONTARIO,ONTARIO,CAN,494124000,-881821000,EST,261.00,6049470,WKK,71468,Climate-Auto,,,,ECCC - MSC,ECCC - SMC,Environment and Climate Change Canada - Meteorological Service of Canada,Environnement et Changement climatique Canada - Service météorologique du Canada,2005-09-06 00:00:00,2024-10-02 12:30:01,2005-12-30 19:00:00,2024-10-02 12:30:01,2005-09-06 00:00:00,2024-10-02 00:00:00,,,Y,N,N
-77.10280277777778,45.54806388888889,43600,EGANVILLE 2,ON,ONTARIO,ONTARIO,CAN,453253030,-770610090,EST,184.80,6102252,,,Climate-Staffed,,,,,,,,2004-10-21 00:00:00,2006-03-31 00:00:00,,,2004-10-21 00:00:00,2006-03-31 00:00:00,2004-11-01 00:00:00,2006-03-01 00:00:00,Y,N,N
-78.3,44.35,43763,PETERBOROUGH TRENT U,ON,ONTARIO,ONTARIO,CAN,442100000,-781800000,EST,216.00,6166456,TPQ,71672,Climate-Auto,,,,ECCC - MSC,ECCC - SMC,Environment and Climate Change Canada - Meteorological Service of Canada,Environnement et Changement climatique Canada - Service météorologique du Canada,2005-05-12 10:00:00,2023-09-19 10:00:00,2005-05-12 10:00:00,2023-09-19 10:00:00,2005-05-17 00:00:00,2023-09-19 00:00:00,2006-04-01 00:00:00,2006-12-01 00:00:00,Y,N,Y
-82.04861833333334,42.856408333333334,44063,PETROLIA ROKEBY,ON,ONTARIO,ONTARIO,CAN,425123070,-820255026,EST,208.00,6126498,,,Climate-Staffed,,,,,,,,2005-08-01 00:00:00,2014-09-16 00:00:00,,,2005-08-01 00:00:00,2014-09-16 00:00:00,2005-08-01 00:00:00,2006-12-01 00:00:00,Y,N,N
-78.95,45.25,4505,RONVILLE,ON,ONTARIO,ONTARIO,CAN,451500000,-785700000,EST,316.40,6117186,,,N/A,,1,9,,,,,1908-01-01 00:00:00,1926-12-01 00:00:00,,,1908-01-01 00:00:00,1926-09-30 00:00:00,1908-01-01 00:00:00,1926-12-01 00:00:00,Y,N,N
-79.38333333333334,45.833333333333336,4512,SOUTH RIVER,ON,ONTARIO,ONTARIO,CAN,455000000,-792300000,EST,396.20,6117957,,,N/A,E,1,6,,,,,1977-01-01 00:00:00,1995-09-30 00:00:00,,,1977-06-01 00:00:00,1995-09-30 00:00:00,1977-01-01 00:00:00,1995-09-01 00:00:00,Y,N,N
-80.1,44.46666666666667,4514,STAYNER,ON,ONTARIO,ONTARIO,CAN,442800000,-800600000,EST,217.60,6117999,,,N/A,,1,9,,,,,1948-01-01 00:00:00,1957-12-31 00:00:00,,,1948-04-01 00:00:00,1957-12-31 00:00:00,1948-01-01 00:00:00,1957-12-01 00:00:00,Y,N,N
-79.16139,44.2625,4525,UDORA,ON,ONTARIO,ONTARIO,CAN,441545000,-790941004,EST,262.00,6119055,,,Climate-Staffed,F,1,7,CCN,RCSC,Co-operative Climate Network,Réseau coopératif de stations climatiques,1989-01-01 00:00:00,2024-09-30 00:00:00,,,1989-09-01 00:00:00,2024-09-30 00:00:00,1989-01-01 00:00:00,2006-12-01 00:00:00,Y,N,N
-81.13333333333334,44.75,4537,WIARTON,ON,ONTARIO,ONTARIO,CAN,444500000,-810800000,EST,182.00,6119495,,,N/A,,1,9,,,,,1883-01-01 00:00:00,1936-12-01 00:00:00,,,1883-04-01 00:00:00,1936-11-30 00:00:00,1883-01-01 00:00:00,1936-12-01 00:00:00,Y,N,N
-81.10722222222222,44.74583333333333,4538,WIARTON A,ON,ONTARIO,ONTARIO,CAN,444445000,-810626000,EST,222.20,6119500,YVV,71633,Aviation-Staffed,A,1,1,,,,,1947-01-01 00:00:00,2014-11-06 15:00:00,1953-01-01 00:00:00,2014-11-06 15:00:00,1947-07-01 00:00:00,2014-11-05 00:00:00,1947-01-01 00:00:00,2014-11-01 00:00:00,N,Y,Y
